first_seen,EMITENT_ID,EMITENT_TITLE
2026-02-21,88,"""Акционерный коммерческий банк ""Держава"" публичное акционерное общество"""
2026-02-21,196,"""Газпромбанк"" (Акционерное общество)"
2026-02-21,6581,"""МЕЖДУНАРОДНЫЙ ИНВЕСТИЦИОННЫЙ БАНК"""
2026-02-21,449,"""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК"" (публичное акционерное общество)"
2026-02-21,13867,"""СИНАРА-Капитал"" (общество с ограниченной ответственностью)"
2026-02-21,9441,RZD Capital P.L.C.
2026-02-21,12389,SUEK Securities Designated Activity Company
2026-02-21,465,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЬФА-БАНК"""
2026-02-21,160,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПЕРВОУРАЛЬСКБАНК"""
2026-02-21,176,"АКЦИОНЕРНЫЙ КОММЕРЧЕСКИЙ БАНК ""МЕТАЛЛУРГИЧЕСКИЙ ИНВЕСТИЦИОННЫЙ БАНК"" (ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО)"
2026-02-21,1107,Администрация Города Томска
2026-02-21,1670,"Акционерная компания ""АЛРОСА"" (публичное акционерное общество)"
2026-02-21,15680,"Акционерное общество ""АВТОАССИСТАНС"""
2026-02-21,8547,"Акционерное общество ""АВТОБАН-Финанс"""
2026-02-21,12573,"Акционерное общество ""АВТОДОМ"""
2026-02-21,4033,"Акционерное общество ""Авто Финанс Банк"""
2026-02-21,311,"Акционерное общество ""Акционерный Банк ""РОССИЯ"""
2026-02-21,11232,"Акционерное общество ""Асфальтобетонный завод №1"""
2026-02-21,11379,"Акционерное общество ""Аэрофьюэлз"""
2026-02-21,9529,"Акционерное общество ""БИЗНЕС АЛЬЯНС"""
2026-02-21,375,"Акционерное общество ""БМ-Банк"""
2026-02-21,241,"Акционерное общество ""Банк ДОМ.РФ"""
2026-02-21,1890,"Акционерное общество ""Башкирская содовая компания"""
2026-02-21,15942,"Акционерное общество ""ВЕРАТЕК"""
2026-02-21,4505,"Акционерное общество ""Вертолеты России"""
2026-02-21,1337,"Акционерное общество ""ГИДРОМАШСЕРВИС"""
2026-02-21,16889,"Акционерное общество ""ГЛАВСНАБ"""
2026-02-21,4351,"Акционерное общество ""Главная дорога"""
2026-02-21,16892,"Акционерное общество ""Гланит"""
2026-02-21,13744,"Акционерное общество ""Группа компаний ""Медси"""
2026-02-21,6402,"Акционерное общество ""Группа компаний ""Пионер"""
2026-02-21,10696,"Акционерное общество ""Джи-групп"""
2026-02-21,15113,"Акционерное общество ""ЕнисейАгроСоюз"""
2026-02-21,9881,"Акционерное общество ""ЗАСЛОН"""
2026-02-21,4525,"Акционерное общество ""Западный скоростной диаметр"""
2026-02-21,12148,"Акционерное общество ""ИНК-Капитал"""
2026-02-21,12737,"Акционерное общество ""ИЭК ХОЛДИНГ"""
2026-02-21,12717,"Акционерное общество ""Кириллица"""
